,2021-01-31,2020-01-31,2019-01-31,2018-01-31
Change To Liabilities,6966000000.0,-274000000.0,1831000000.0,4086000000.0
Total Cashflows From Investing Activities,-10071000000.0,-9128000000.0,-24036000000.0,-9079000000.0
Net Borrowings,-5706000000.0,-1071000000.0,12035000000.0,-1437000000.0
Total Cash From Financing Activities,-16117000000.0,-14299000000.0,-2537000000.0,-19875000000.0
Change To Operating Activities,4623000000.0,186000000.0,183000000.0,928000000.0
Net Income,13510000000.0,14881000000.0,6670000000.0,9862000000.0
Change In Cash,8273000000.0,1759000000.0,742000000.0,-130000000.0
Repurchase Of Stock,-2625000000.0,-5717000000.0,-7410000000.0,-8296000000.0
Effect Of Exchange Rate,235000000.0,-69000000.0,-438000000.0,487000000.0
Total Cash From Operating Activities,36074000000.0,25255000000.0,27753000000.0,28337000000.0
Depreciation,11152000000.0,10987000000.0,10678000000.0,10529000000.0
Other Cashflows From Investing Activities,102000000.0,479000000.0,-431000000.0,-77000000.0
Dividends Paid,-6116000000.0,-6048000000.0,-6102000000.0,-6124000000.0
Change To Inventory,-2395000000.0,-300000000.0,-1311000000.0,-140000000.0
Change To Account Receivables,-1086000000.0,154000000.0,-368000000.0,-1074000000.0
Other Cashflows From Financing Activities,-1670000000.0,-1463000000.0,-1060000000.0,-4018000000.0
Change To Netincome,3440000000.0,-286000000.0,10110000000.0,4703000000.0
Capital Expenditures,-10264000000.0,-10705000000.0,-10344000000.0,-10051000000.0
