,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,282570000.0,290564000.0,262902000.0,257189000.0
Total Liab,14267628000.0,12926059000.0,12315497000.0,11883352000.0
Total Stockholder Equity,5633503000.0,5430648000.0,5222915000.0,5006690000.0
Minority Interest,119290000.0,122540000.0,125790000.0,129040000.0
Deferred Long Term Liab,1133987000.0,1304073000.0,1342941000.0,1202302000.0
Other Current Liab,700407000.0,707722000.0,694979000.0,669971000.0
Total Assets,20020421000.0,18479247000.0,17664202000.0,17019082000.0
Common Stock,2677482000.0,2659561000.0,2634265000.0,2614805000.0
Other Current Assets,371271000.0,265680000.0,224143000.0,298058000.0
Retained Earnings,3025106000.0,2837610000.0,2641183000.0,2442511000.0
Other Liab,6231593000.0,5963264000.0,6028301000.0,5895787000.0
Treasury Stock,-69085000.0,-66523000.0,-52533000.0,-50626000.0
Other Assets,3271473000.0,2904366000.0,2829858000.0,2674936000.0
Cash,59968000.0,10283000.0,5766000.0,13892000.0
Total Current Liabilities,1360433000.0,2078365000.0,1648964000.0,1197852000.0
Other Stockholder Equity,-62796000.0,-57096000.0,-47708000.0,-45002000.0
Property Plant Equipment,15268059000.0,14254287000.0,13646451000.0,13070669000.0
Total Current Assets,1198319000.0,1030030000.0,924991000.0,1016288000.0
Net Tangible Assets,5350933000.0,5140084000.0,4960013000.0,4749501000.0
Net Receivables,432783000.0,408147000.0,400988000.0,415068000.0
Long Term Debt,6314266000.0,4832558000.0,4638232000.0,4789713000.0
Inventory,334297000.0,345920000.0,294094000.0,289270000.0
Accounts Payable,318585000.0,346448000.0,277336000.0,256442000.0
Short Long Term Debt,,800000000.0,500000000.0,82000000.0
