,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,1224658000.0,1239095000.0,1030305000.0,1098288000.0
Capital Surplus,2386790000.0,2245619000.0,2268209000.0,2374006000.0
Total Liab,10450606000.0,9062163000.0,6824788000.0,5841392000.0
Total Stockholder Equity,-471772000.0,1145820000.0,1098981000.0,1181196000.0
Minority Interest,610469000.0,767632000.0,573117000.0,481675000.0
Other Current Liab,2850456000.0,2509030000.0,2375987000.0,2082594000.0
Total Assets,10589303000.0,10975615000.0,8496886000.0,7504263000.0
Common Stock,2145000.0,2113000.0,2091000.0,2069000.0
Other Current Assets,11561000.0,9939000.0,21573000.0,16658000.0
Retained Earnings,-2676833000.0,-949334000.0,-1019223000.0,-1079472000.0
Other Liab,353267000.0,308821000.0,342044000.0,312026000.0
Good Will,2129203000.0,1998498000.0,1822943000.0,1754589000.0
Treasury Stock,-183874000.0,-152578000.0,-152096000.0,-115407000.0
Other Assets,889543000.0,857569000.0,711760000.0,507437000.0
Cash,2537787000.0,2470362000.0,2371540000.0,1825322000.0
Total Current Liabilities,3796569000.0,4107599000.0,3749866000.0,3577000000.0
Short Long Term Debt,53415000.0,37795000.0,82142000.0,347593000.0
Other Stockholder Equity,-177009000.0,-145713000.0,-145231000.0,-108542000.0
Property Plant Equipment,2525637000.0,2519951000.0,946593000.0,885936000.0
Total Current Assets,3649768000.0,4192899000.0,3848074000.0,3152742000.0
Long Term Investments,170494000.0,167603000.0,137211000.0,105271000.0
Net Tangible Assets,-3825633000.0,-2091773000.0,-1754267000.0,-1671681000.0
Net Receivables,501290000.0,1029448000.0,844520000.0,746582000.0
Long Term Debt,4850896000.0,3271262000.0,2732878000.0,1952366000.0
Inventory,22000000.0,16106000.0,12575000.0,17467000.0
Accounts Payable,86356000.0,100237000.0,90253000.0,85666000.0
