Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day
2017-09-29,122.91000366210938,124.7699966430664,122.31999969482422,124.52999877929688,115.28868103027344,270300,CPA,0.9892396446113384,1.088102680423778,0.9794701490650792,1.0206479989635429,-0.03140835435220446,-0.002157708298668126,-0.10982304992612368
2017-10-02,125.16999816894533,125.9499969482422,124.30999755859376,125.7300033569336,116.39965057373048,194200,CPA,0.9867969129699112,1.0728384546234826,0.9938676918750964,1.012478214064533,-0.025681301094621745,-0.015869101137917063,-0.09526318660183741
2017-10-03,126.25,131.14999389648438,125.4000015258789,131.02000427246094,121.2970733642578,289400,CPA,0.947259987483214,1.0124837014463492,0.9363598167139978,1.0113391723313174,-0.06407918484810338,-0.07747967355855279,-0.14544082550657433
2017-10-04,131.25999450683594,131.6999969482422,128.75,129.3699951171875,119.76951599121094,187800,CPA,0.9567905835169505,1.0196450218270237,0.949632033267021,1.0126829906128405,-0.05589240709589005,-0.06883866519454274,-0.1403273333296431
2017-10-05,128.86000061035156,130.0399932861328,127.22000122070312,127.44000244140624,117.98274993896484,156400,CPA,0.9892499046994564,1.0417150282571366,0.9634576815471312,1.0121464877707815,-0.02289658307132514,-0.041085447425976085,-0.13446406722412796
2017-10-06,127.01000213623048,127.5999984741211,126.2300033569336,126.9000015258789,117.4828109741211,147300,CPA,0.9644603277405044,1.0912364265389296,0.9841462013661276,1.0081446760609294,-0.043684348320425004,-0.003706796288106551,-0.11642686506963595
2017-10-09,127.0,127.95999908447266,125.4800033569336,126.08000183105467,116.7236785888672,122400,CPA,0.9685913765720912,1.1246535277713103,0.9683115581292256,1.0143616235707735,-0.04577024699868237,0.02093810281865771,-0.13017058804747128
2017-10-10,128.0,130.60000610351562,126.87000274658205,130.19000244140625,120.52867126464844,212700,CPA,0.9549120790098252,1.0662861358959976,0.92118475744993,1.008797349947511,-0.05388527093768569,-0.026564540247947965,-0.16811255524402557
2017-10-11,129.91000366210938,131.11000061035156,127.91000366210938,128.39999389648438,118.87149810791016,233000,CPA,0.9578660813280512,1.0838920525200206,0.9248048470145004,1.0091988628593096,-0.05133278153125842,-0.017340155222685727,-0.16329220317849324
2017-10-12,128.6199951171875,129.5800018310547,127.5500030517578,128.82000732421875,119.2603530883789,121800,CPA,0.9557520736877316,1.067087742831183,0.8990845073531063,1.0112728774332036,-0.05552080374547197,-0.03159718299216974,-0.17695059361202314
