,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,1123544000.0,1091475000.0,1095378000.0,1063630000.0
Capital Surplus,2802012000.0,2791353000.0,2798486000.0,2805587000.0
Total Liab,5659575000.0,5026936000.0,4629227000.0,4535998000.0
Total Stockholder Equity,6027330000.0,5621857000.0,5202903000.0,4968893000.0
Deferred Long Term Liab,92880000.0,92759000.0,95800000.0,81241000.0
Other Current Liab,85191000.0,95749000.0,104630000.0,85554000.0
Total Assets,11686905000.0,10648793000.0,9832130000.0,9504891000.0
Common Stock,132516000.0,132371000.0,131762000.0,132324000.0
Other Current Assets,74277000.0,79014000.0,69000000.0,65780000.0
Retained Earnings,3274107000.0,2895871000.0,2444870000.0,2180448000.0
Other Liab,1435731000.0,1318283000.0,1247320000.0,1279644000.0
Good Will,3172112000.0,3167061000.0,3165396000.0,3122321000.0
Treasury Stock,-181305000.0,-197738000.0,-172215000.0,-149466000.0
Other Assets,471399000.0,393479000.0,393613000.0,357424000.0
Cash,1197068000.0,271589000.0,40037000.0,141646000.0
Total Current Liabilities,1047883000.0,535563000.0,602550000.0,442872000.0
Short Long Term Debt,515435000.0,25000.0,23000.0,41383000.0
Other Stockholder Equity,-181305000.0,-197738000.0,-172215000.0,-149466000.0
Property Plant Equipment,4608384000.0,4556743000.0,4053983000.0,3746300000.0
Total Current Assets,2277165000.0,1379326000.0,1079145000.0,1180101000.0
Long Term Investments,34301000.0,60709000.0,44615000.0,35115000.0
Net Tangible Assets,1731674000.0,1363321000.0,942129000.0,782942000.0
Net Receivables,557235000.0,570415000.0,540778000.0,588337000.0
Long Term Debt,2772240000.0,2784315000.0,2779357000.0,2813482000.0
Inventory,448585000.0,458308000.0,429330000.0,384338000.0
Accounts Payable,273080000.0,265159000.0,216473000.0,197335000.0
