,2021-01-02,2019-12-28,2018-12-29,2017-12-30
Change To Liabilities,-68200000.0,46400000.0,43600000.0,83400000.0
Total Cashflows From Investing Activities,-554200000.0,-251000000.0,-232500000.0,-543300000.0
Net Borrowings,113100000.0,-23900000.0,409300000.0,199900000.0
Total Cash From Financing Activities,-207700000.0,-470300000.0,-208100000.0,-83900000.0
Change To Operating Activities,-57900000.0,-76300000.0,-266900000.0,-44600000.0
Net Income,555900000.0,303600000.0,467400000.0,281800000.0
Change In Cash,-1400000.0,21700000.0,7600000.0,29300000.0
Repurchase Of Stock,-124000000.0,-255100000.0,-425100000.0,-129700000.0
Effect Of Exchange Rate,9200000.0,-3500000.0,-9700000.0,10800000.0
Total Cash From Operating Activities,751300000.0,746500000.0,457900000.0,645700000.0
Depreciation,176300000.0,158200000.0,160800000.0,149400000.0
Other Cashflows From Investing Activities,5600000.0,4900000.0,18500000.0,-3900000.0
Dividends Paid,-196800000.0,-189700000.0,-175000000.0,-155500000.0
Change To Inventory,-6000000.0,-18100000.0,-70500000.0,-14900000.0
Change To Account Receivables,14700000.0,-42200000.0,-62500000.0,-141200000.0
Change To Netincome,142700000.0,348700000.0,201300000.0,272900000.0
Capital Expenditures,-201400000.0,-219400000.0,-226700000.0,-190500000.0
Investments,,-6500000.0,-3800000.0,-8300000.0
Other Cashflows From Financing Activities,,-1600000.0,-17300000.0,-20600000.0
Issuance Of Stock,,,900000.0,1400000.0
