,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,415000000.0,-109000000.0,-309000000.0,211000000.0
Total Cashflows From Investing Activities,-228000000.0,736000000.0,4807000000.0,1078500000.0
Net Borrowings,-160000000.0,-1298000000.0,-3484000000.0,-1400400000.0
Total Cash From Financing Activities,-559000000.0,-1904000000.0,-5454000000.0,-2195800000.0
Change To Operating Activities,-75000000.0,-198000000.0,-259000000.0,-235300000.0
Issuance Of Stock,11000000.0,11000000.0,11000000.0,11000000.0
Net Income,-770000000.0,107000000.0,-6942000000.0,2748800000.0
Change In Cash,650000000.0,-125000000.0,10000000.0,-101800000.0
Effect Of Exchange Rate,5000000.0,-1000000.0,-23000000.0,49300000.0
Total Cash From Operating Activities,1432000000.0,1044000000.0,680000000.0,966200000.0
Depreciation,357000000.0,446000000.0,372000000.0,400200000.0
Other Cashflows From Investing Activities,15000000.0,5000000.0,58000000.0,12100000.0
Dividends Paid,-392000000.0,-391000000.0,-435000000.0,-428600000.0
Change To Inventory,-29000000.0,131000000.0,126000000.0,-350400000.0
Change To Account Receivables,168000000.0,311000000.0,162000000.0,288700000.0
Other Cashflows From Financing Activities,-18000000.0,-210000000.0,-10000000.0,-195800000.0
Change To Netincome,1366000000.0,356000000.0,7530000000.0,-2096800000.0
Capital Expenditures,-259000000.0,-265000000.0,-384000000.0,-406200000.0
Repurchase Of Stock,,-5000000.0,-1525000000.0,-171000000.0
