,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,2711000000.0,1915000000.0,1934000000.0,1869000000.0
Capital Surplus,12057000000.0,12044000000.0,12091000000.0,12075000000.0
Total Liab,7625000000.0,6268000000.0,6020000000.0,5946000000.0
Total Stockholder Equity,8211000000.0,8188000000.0,8131000000.0,7639000000.0
Minority Interest,935000000.0,941000000.0,943000000.0,815000000.0
Other Current Liab,1191000000.0,994000000.0,925000000.0,956000000.0
Total Assets,16771000000.0,15397000000.0,15094000000.0,14400000000.0
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0
Other Current Assets,414000000.0,336000000.0,333000000.0,392000000.0
Retained Earnings,-2911000000.0,-2897000000.0,-2976000000.0,-3207000000.0
Other Liab,974000000.0,926000000.0,923000000.0,834000000.0
Good Will,4653000000.0,4304000000.0,4292000000.0,3997000000.0
Treasury Stock,-941000000.0,-965000000.0,-990000000.0,-1235000000.0
Other Assets,1734000000.0,1433000000.0,1444000000.0,1404000000.0
Cash,2236000000.0,1974000000.0,1562000000.0,1539000000.0
Total Current Liabilities,3234000000.0,3169000000.0,2861000000.0,2738000000.0
Deferred Long Term Asset Charges,378000000.0,302000000.0,337000000.0,337000000.0
Short Long Term Debt,6000000.0,183000000.0,182000000.0,50000000.0
Other Stockholder Equity,-941000000.0,-965000000.0,-990000000.0,-1235000000.0
Property Plant Equipment,2775000000.0,3323000000.0,3389000000.0,3273000000.0
Total Current Assets,4456000000.0,3943000000.0,3596000000.0,3435000000.0
Long Term Investments,442000000.0,479000000.0,439000000.0,422000000.0
Net Tangible Assets,847000000.0,1969000000.0,1905000000.0,1773000000.0
Net Receivables,1553000000.0,1387000000.0,1498000000.0,1301000000.0
Long Term Debt,2229000000.0,948000000.0,990000000.0,1152000000.0
Inventory,253000000.0,246000000.0,203000000.0,203000000.0
Accounts Payable,321000000.0,336000000.0,291000000.0,322000000.0
