,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,153367000.0,143850000.0,100582000.0,86916000.0
Capital Surplus,2973797000.0,2454741000.0,2093834000.0,1731367000.0
Total Liab,5880576000.0,3894489000.0,2767941000.0,2771501000.0
Total Stockholder Equity,2834481000.0,2127941000.0,1111199000.0,778744000.0
Deferred Long Term Liab,444068000.0,333448000.0,282490000.0,224252000.0
Other Current Liab,3167157000.0,2341622000.0,1762945000.0,1289268000.0
Total Assets,8715057000.0,6022430000.0,3879140000.0,3550245000.0
Common Stock,196000.0,189000.0,180000.0,174000.0
Other Current Assets,239101000.0,179489000.0,165055000.0,110944000.0
Retained Earnings,-233741000.0,-352244000.0,-978780000.0,-958564000.0
Other Liab,80500000.0,63502000.0,93661000.0,102004000.0
Good Will,240764000.0,156756000.0,148845000.0,128728000.0
Treasury Stock,94229000.0,25255000.0,-4035000.0,5767000.0
Other Assets,1189219000.0,989078000.0,341348000.0,271284000.0
Cash,1676794000.0,775778000.0,566204000.0,726495000.0
Total Current Liabilities,3737144000.0,2752785000.0,2012573000.0,2039479000.0
Deferred Long Term Asset Charges,673111000.0,599633000.0,20642000.0,
Other Stockholder Equity,94229000.0,25255000.0,-4035000.0,5767000.0
Property Plant Equipment,1113859000.0,870513000.0,347216000.0,245124000.0
Total Current Assets,4521842000.0,2826901000.0,2344693000.0,2421951000.0
Long Term Investments,1496006000.0,1035332000.0,596456000.0,396242000.0
Net Tangible Assets,2440350000.0,1827335000.0,861772000.0,563100000.0
Short Term Investments,1415242000.0,915317000.0,931718000.0,1052803000.0
Net Receivables,1022415000.0,846279000.0,574810000.0,437051000.0
Long Term Debt,1640153000.0,694981000.0,661707000.0,630018000.0
Accounts Payable,34236000.0,52960000.0,30733000.0,32109000.0
Short Long Term Debt,,,,543418000.0
