,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,453819000.0,453819000.0,453326000.0,452746000.0
Total Liab,9799724000.0,9217304000.0,8199324000.0,7338714000.0
Total Stockholder Equity,5003879000.0,4372717000.0,3844386000.0,3560705000.0
Deferred Long Term Liab,89749000.0,103118000.0,136276000.0,124767000.0
Total Assets,14651606000.0,13438024000.0,11891713000.0,10747422000.0
Common Stock,10497000.0,10497000.0,10497000.0,10497000.0
Other Current Assets,47163000.0,40585000.0,47369000.0,52878000.0
Retained Earnings,4958359000.0,4399402000.0,3976962000.0,3635561000.0
Other Liab,4392732000.0,3935217000.0,3479128000.0,3314523000.0
Treasury Stock,-418796000.0,-491001000.0,-596399000.0,-538099000.0
Other Assets,4546774000.0,4311511000.0,5572847000.0,5147165000.0
Cash,1194012000.0,494352000.0,673701000.0,759388000.0
Total Current Liabilities,1151971000.0,554353000.0,556873000.0,511115000.0
Short Long Term Debt,307779000.0,8214000.0,,897000.0
Other Stockholder Equity,106857000.0,34652000.0,-70746000.0,-12446000.0
Property Plant Equipment,4912513000.0,4922591000.0,2581904000.0,1880023000.0
Total Current Assets,2082951000.0,1427375000.0,1259894000.0,1465436000.0
Long Term Investments,3109368000.0,2776547000.0,2477068000.0,2254798000.0
Net Tangible Assets,5003879000.0,4372717000.0,3844386000.0,3560705000.0
Short Term Investments,7234000.0,6995000.0,5546000.0,10350000.0
Net Receivables,259821000.0,221456000.0,255674000.0,386814000.0
Long Term Debt,3852646000.0,3886421000.0,3120671000.0,2528859000.0
Inventory,105577000.0,101083000.0,103504000.0,89877000.0
Accounts Payable,622934000.0,530439000.0,541273000.0,495018000.0
