,2020-12-26,2019-12-28,2018-12-29,2017-12-30
Intangible Assets,19315000000.0,16043000000.0,15825000000.0,13838000000.0
Capital Surplus,3910000000.0,3886000000.0,3953000000.0,3996000000.0
Total Liab,79366000000.0,63679000000.0,63046000000.0,68823000000.0
Total Stockholder Equity,13454000000.0,14786000000.0,14518000000.0,11045000000.0
Minority Interest,98000000.0,82000000.0,84000000.0,92000000.0
Deferred Long Term Liab,130000000.0,147000000.0,112000000.0,134000000.0
Other Current Liab,5285000000.0,4486000000.0,6603000000.0,4115000000.0
Total Assets,92918000000.0,78547000000.0,77648000000.0,79804000000.0
Common Stock,23000000.0,23000000.0,23000000.0,24000000.0
Other Current Assets,48000000.0,55000000.0,2044000000.0,46000000.0
Retained Earnings,63443000000.0,61946000000.0,59947000000.0,52839000000.0
Other Liab,14391000000.0,12952000000.0,12613000000.0,14525000000.0
Good Will,18757000000.0,15501000000.0,14808000000.0,14744000000.0
Treasury Stock,-53922000000.0,-51069000000.0,-49405000000.0,-45814000000.0
Other Assets,6014000000.0,5822000000.0,5124000000.0,913000000.0
Cash,8185000000.0,5509000000.0,8721000000.0,10610000000.0
Total Current Liabilities,23372000000.0,20461000000.0,22138000000.0,20502000000.0
Deferred Long Term Asset Charges,4372000000.0,4359000000.0,4364000000.0,
Short Long Term Debt,3358000000.0,2848000000.0,3953000000.0,4020000000.0
Other Stockholder Equity,-15476000000.0,-14300000000.0,-15119000000.0,-13057000000.0
Property Plant Equipment,23039000000.0,20853000000.0,17589000000.0,17240000000.0
Total Current Assets,23001000000.0,17645000000.0,21893000000.0,31027000000.0
Long Term Investments,2792000000.0,2683000000.0,2409000000.0,2042000000.0
Net Tangible Assets,-24618000000.0,-16758000000.0,-16115000000.0,-17537000000.0
Short Term Investments,1366000000.0,229000000.0,272000000.0,8900000000.0
Net Receivables,8404000000.0,7822000000.0,7142000000.0,7024000000.0
Long Term Debt,40370000000.0,29148000000.0,28295000000.0,33796000000.0
Inventory,4172000000.0,3338000000.0,3128000000.0,2947000000.0
Accounts Payable,8853000000.0,8013000000.0,7213000000.0,6727000000.0
