,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,11948000000.0,-2307000000.0,15469000000.0,-5053000000.0
Change To Liabilities,80000000.0,-61000000.0,-39000000.0,-430000000.0
Total Cashflows From Investing Activities,-14615000000.0,-7817000000.0,14355000000.0,-16069000000.0
Net Borrowings,5684000000.0,-2750000000.0,-6250000000.0,7174000000.0
Total Cash From Financing Activities,770000000.0,-7634000000.0,-12318000000.0,3393000000.0
Change To Operating Activities,426000000.0,-696000000.0,389000000.0,-460000000.0
Issuance Of Stock,256000000.0,209000000.0,289000000.0,234000000.0
Net Income,123000000.0,5386000000.0,5455000000.0,4628000000.0
Change In Cash,-5634000000.0,-6309000000.0,10352000000.0,-641000000.0
Repurchase Of Stock,-1583000000.0,-1749000000.0,-2900000000.0,-954000000.0
Effect Of Exchange Rate,43000000.0,-2000000.0,-85000000.0,137000000.0
Total Cash From Operating Activities,8168000000.0,9144000000.0,8400000000.0,11898000000.0
Depreciation,1480000000.0,1404000000.0,1429000000.0,1286000000.0
Other Cashflows From Investing Activities,-171000000.0,-434000000.0,-190000000.0,-190000000.0
Dividends Paid,-3449000000.0,-3222000000.0,-2971000000.0,-2731000000.0
Change To Inventory,-195000000.0,-95000000.0,-310000000.0,-253000000.0
Change To Account Receivables,-1171000000.0,-218000000.0,480000000.0,754000000.0
Other Cashflows From Financing Activities,-138000000.0,-122000000.0,-486000000.0,-330000000.0
Change To Netincome,8203000000.0,3152000000.0,2455000000.0,876000000.0
Capital Expenditures,-650000000.0,-825000000.0,-924000000.0,-590000000.0
