,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,387000000.0,-589000000.0,436000000.0,657000000.0
Total Cashflows From Investing Activities,-174000000.0,3196000000.0,-383000000.0,-289000000.0
Net Borrowings,-36000000.0,-2200000000.0,-1065000000.0,-27000000.0
Total Cash From Financing Activities,-430000000.0,-4520000000.0,-1307000000.0,-253000000.0
Change To Operating Activities,378000000.0,-352000000.0,-999000000.0,-337000000.0
Net Income,1037000000.0,2195000000.0,330000000.0,986000000.0
Change In Cash,424000000.0,-1390000000.0,-88000000.0,817000000.0
Repurchase Of Stock,-144000000.0,-2030000000.0,-2030000000.0,-2000000.0
Total Cash From Operating Activities,1028000000.0,-66000000.0,1602000000.0,1359000000.0
Depreciation,300000000.0,294000000.0,345000000.0,317000000.0
Dividends Paid,-248000000.0,-238000000.0,-242000000.0,-242000000.0
Change To Inventory,-3000000.0,-101000000.0,88000000.0,-21000000.0
Change To Account Receivables,-155000000.0,-610000000.0,893000000.0,-229000000.0
Other Cashflows From Financing Activities,-2000000.0,-52000000.0,-52000000.0,18000000.0
Change To Netincome,-769000000.0,-1931000000.0,858000000.0,205000000.0
Capital Expenditures,-230000000.0,-205000000.0,-592000000.0,-287000000.0
Other Cashflows From Investing Activities,,1000000.0,4000000.0,-2000000.0
