,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-692000.0,4959000.0,9054000.0,-588000.0
Change To Liabilities,0.0,0.0,-31519000.0,0.0
Total Cashflows From Investing Activities,72543000.0,-174724000.0,-220052000.0,-202968000.0
Net Borrowings,1000000.0,-1500139000.0,-65151000.0,-60170000.0
Total Cash From Financing Activities,-51285000.0,-143249000.0,-101937000.0,-95847000.0
Change To Operating Activities,57127000.0,-49185000.0,-39673000.0,-10857000.0
Issuance Of Stock,13152000.0,1455071000.0,23512000.0,6116000.0
Net Income,424600000.0,95677000.0,84635000.0,98301000.0
Change In Cash,253713000.0,-176865000.0,44651000.0,-34623000.0
Repurchase Of Stock,-187000.0,-6860000.0,-340000.0,-784000.0
Effect Of Exchange Rate,4551000.0,-16841000.0,29440000.0,10395000.0
Total Cash From Operating Activities,227904000.0,157949000.0,337200000.0,253797000.0
Depreciation,61423000.0,62260000.0,61770000.0,58679000.0
Dividends Paid,-45507000.0,-41130000.0,-40982000.0,-40927000.0
Other Cashflows From Financing Activities,-19743000.0,-50191000.0,-18976000.0,-82000.0
Change To Netincome,-315246000.0,49197000.0,109891000.0,107674000.0
Capital Expenditures,-217232000.0,-179683000.0,-229106000.0,-202380000.0
Change To Inventory,,,51978000.0,51978000.0
Change To Account Receivables,,,100118000.0,100118000.0
