,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Intangible Assets,476065000.0,465491000.0,451136000.0,441673000.0
Capital Surplus,518960000.0,495005000.0,472029000.0,464138000.0
Total Liab,1016864000.0,878786000.0,755816000.0,710214000.0
Total Stockholder Equity,1319292000.0,1549688000.0,1429013000.0,1322844000.0
Deferred Long Term Liab,127205000.0,113525000.0,90084000.0,74865000.0
Other Current Liab,328447000.0,318205000.0,354067000.0,344605000.0
Total Assets,2336156000.0,2428474000.0,2184829000.0,2033058000.0
Common Stock,1038000.0,1036000.0,1035000.0,1033000.0
Other Current Assets,46215000.0,38235000.0,41457000.0,24291000.0
Retained Earnings,2412496000.0,2235320000.0,2066073000.0,1912933000.0
Other Liab,346553000.0,327136000.0,285854000.0,262159000.0
Good Will,687458000.0,686334000.0,666944000.0,649929000.0
Treasury Stock,-1613202000.0,-1181673000.0,-1110124000.0,-1055260000.0
Other Assets,307188000.0,270168000.0,224827000.0,185164000.0
Cash,50992000.0,213345000.0,93628000.0,31440000.0
Total Current Liabilities,520860000.0,494845000.0,469962000.0,448055000.0
Property Plant Equipment,308458000.0,337380000.0,272474000.0,285550000.0
Total Current Assets,543737000.0,669101000.0,569448000.0,470742000.0
Long Term Investments,13250000.0,,,
Net Tangible Assets,155769000.0,397863000.0,310933000.0,231242000.0
Net Receivables,359691000.0,343605000.0,349343000.0,333005000.0
Long Term Debt,100000000.0,,,
Accounts Payable,18485000.0,9880000.0,9850000.0,30360000.0
