,2021-07-02,2021-04-02,2020-12-31,2020-10-02
Investments,-119000000.0,-377000000.0,-114100000.0,-87100000.0
Change To Liabilities,-32000000.0,-38000000.0,852000000.0,53300000.0
Total Cashflows From Investing Activities,-1067000000.0,-993000000.0,-581300000.0,-328400000.0
Net Borrowings,14000000.0,-280000000.0,-1252000000.0,-1212200000.0
Total Cash From Financing Activities,-139000000.0,-449000000.0,-1419700000.0,-1319800000.0
Change To Operating Activities,239000000.0,-164000000.0,-114000000.0,68100000.0
Issuance Of Stock,25000000.0,-12000000.0,28300000.0,56100000.0
Net Income,1785000000.0,1702000000.0,1240100000.0,883500000.0
Change In Cash,992000000.0,295000000.0,347600000.0,148400000.0
Effect Of Exchange Rate,78000000.0,-134000000.0,127300000.0,73900000.0
Total Cash From Operating Activities,2120000000.0,1871000000.0,2221300000.0,1722700000.0
Depreciation,525000000.0,502000000.0,508600000.0,491500000.0
Other Cashflows From Investing Activities,2000000.0,16000000.0,400000.0,12200000.0
Change To Inventory,-121000000.0,-171000000.0,120700000.0,-173300000.0
Change To Account Receivables,-130000000.0,59000000.0,-475400000.0,-62900000.0
Other Cashflows From Financing Activities,-178000000.0,-178000000.0,-26300000.0,-163700000.0
Change To Netincome,-146000000.0,-19000000.0,89300000.0,462500000.0
Capital Expenditures,-305000000.0,-251000000.0,-315800000.0,-187300000.0
Dividends Paid,,-169000000.0,-169600000.0,-169600000.0
